pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
Kepler-27 b,4,2895.31,15.3348,610,5400,0.65,0.59,0.41,-0.758176701,2.197130106,180.956875,10.20702527,42.93835399,99.77830708,0.65,1,671,301.3252754,0.043024599,0.005451774,0
Kepler-1718 b,2.569,7.12,135.1880035,345,5731,0.85,0.91,-0.32,-1.422297122,-1.855826431,1.078826945,-0.165878518,53.76167073,56.07665867,0.56725,0.551367647,364.0221838,18.64558301,0.030427679,0.294419488,0.736034084
Kepler-634 b,1.89,4.23,5.16950177,1309,6075,1.03,1.24,-0.18,0.993597543,-1.078547095,1.184177375,-0.159803347,47.245343,53.46794423,0.48125,0.023078682,1312.020999,16.75549661,0.628471938,0.002320909,0
Kepler-82 b,4.07,12.15,26.44,562,5401,0.91,0.9,0.211,-0.878470211,1.09228305,0.73347862,-0.185793482,43.64685076,54.07070689,0.64975,0.370422103,582.8177222,19.35124703,0.069678257,0.047179058,0
Kepler-1086 c,2.94,8.96,161.5163345,211,4350,0.7,0.66,0.06,-1.758116505,0.253931767,1.036605118,-0.168313295,53.64378263,56.21325782,0.9125,0.679719173,225.3420745,19.55232297,0.004718353,0.263239085,0.782437759
Kepler-808 b,1.46,2.73,0.63133235,1322,4653,0.76,0.71,0.05,1.026177035,0.198411814,1.280728092,-0.154235623,44.71197609,48.37942926,0.83675,0.01955776,1324.585536,15.31520866,0.288071346,0.002527328,0
GJ 724 b,3.27,10.75,5.101284,611,3799,0.53,0.52,-0.02,-0.755670586,-0.190227854,1.005339992,-0.17011624,43.14509978,51.69661814,1,0.313265216,630.1405047,20.30712202,0.017052473,0.037901389,0
47 UMa b,13.2,804.08,1078,912.5307146,5872,1.06,1.21,0.04,0,0.142891861,4.614784206,0.0380271,42.68036954,86.36962302,0.532,1,1003.783786,87.41393828,0.014854531,0.001279139,0
HD 147379 b,4.94,21.6,86.58,912.5307146,4090,0.58,0.63,0.16,0,0.809131292,0.885115311,-0.177049154,42.66754666,51.67758561,0.9775,0.185414088,929.4503196,23.41970519,0.005091579,0.006088574,0
HD 173416 b,13.4,585.1221,322.03,912.5307146,4683,2,13.5,-0.22,0,-1.300626905,3.258643907,-0.040176511,44.98047017,83.37141305,0.82925,1,1003.783786,74.00973929,1.673875412,0.001405626,0
75 Cet c,13.9,289.85951,2051.62,912.5307146,4809,1.92,10.38,0.1,0,0.476011577,1.500230371,-0.141577736,44.94041879,76.12262465,0.79775,0.999994729,1003.783305,51.14514326,0.320213066,0.001715544,0
HD 2952 b,13.9,284.77425,312.08,912.5307146,4853,1.91,10.9,0,0,-0.079187949,1.473910512,-0.143095505,47.88449774,78.0914589,0.78675,0.999993165,1003.783162,50.69451599,1.28510926,0.001724278,0
CT Cha b,24.66,5403,,2600,4403,,1.68,-0.56,4.228991747,-3.188305292,8.884823872,0.284264543,42.55579975,96.56368208,0.89925,1,2860,165.7826091,0,4.21E-06,0
BD+48 738 b,13.9,289.2253,392.6,912.5307146,4414,0.74,11,-0.2,0,-1.189587,1.496947881,-0.141767025,48.28668139,78.12665511,0.8965,0.999994446,1003.783279,51.08916006,0.768607006,0.001716623,0
BD+49 828 b,13.5,508.5,2590,912.5307146,4943,1.52,7.6,-0.19,0,-1.134067047,2.790123457,-0.067194358,43.7809632,81.3227673,0.76425,1,1003.783786,68.73795652,0.164038693,0.001464104,0
CoRoT-16 b,13.11,170.032,5.35227,912.5307146,5650,1.1,1.19,0.19,0,0.97569115,0.989293783,-0.171041565,45.70943702,73.39910875,0.5875,0.99764948,1003.569294,40.33499509,0.423141435,0.002023855,0
TOI-216.02,8,18.75188,17.16073,628,5026,0.77,0.75,0.32,-0.713066634,1.697450533,0.292998125,-0.211194368,43.20131583,52.10383402,0.7435,0.350872427,650.0347884,17.14728779,0.04840369,0.023673374,0
DS Tuc A b,5.7,413.179,8.138268,850,5428,1.01,0.96,0,-0.156709149,-0.079187949,12.71711296,0.505258524,43.89273546,88.40904747,0.643,1,935,95.35637106,0.177406835,0.00252296,0
GJ 1252 b,1.193,1.32,0.5182331,1089,3458,0.38,0.39,0.1,0.442252287,0.476011577,0.927455421,-0.174607556,42.86431809,44.13790741,1,0.039476861,1093.29903,11.78107081,0.030243746,0.007075572,0
TOI-470 b,4.34,17.4,12.19148,660,5190,0.87,0.83,0.1,-0.632870961,0.476011577,0.923782624,-0.174819352,43.46384862,55.20754139,0.7025,0.35129193,683.1852674,22.4257916,0.084659918,0.023302539,0
